EVANGELINE	0.011	 16,699	849
EVELYN	0.322	 488,825	57
FAITH	0.028	 42,507	484
FANNY	0.009	 13,663	974
FAYE	0.058	 88,049	309
FRANCIS	0.039	 59,206	393
FRANCISCA	0.024	 36,434	542
FRANK	0.581	 847,656	31
FRANKLIN	0.077	 112,340	216
FREDA	0.034	 51,615	432
FREDERICK	0.154	 224,680	131
FRIEDA	0.017	 25,808	651
GABRIELA	0.018	 27,326	628
GAIL	0.145	 220,123	155
GARY	0.65	 948,325	26
GAYLE	0.043	 65,278	375
GENE	0.087	 126,930	200
GENEVIEVE	0.051	 77,423	333
GEORGETTE	0.011	 16,699	863
GEORGINA	0.015	 22,771	717
GERALDINE	0.141	 214,051	161
GILBERT	0.089	 129,848	199
GINA	0.099	 150,291	213
GLADYS	0.205	 311,209	103
GLENDA	0.088	 133,592	242
GLENNA	0.018	 27,326	627
GOLDIE	0.023	 34,916	565
HALLIE	0.009	 13,663	928
HAROLD	0.371	 541,275	44
HARRIETT	0.013	 19,735	769
HARVEY	0.072	 105,045	225
HAZEL	0.161	 244,413	138
HECTOR	0.094	 137,142	189
HELEN	0.663	 1,006,494	15
HILLARY	0.013	 19,735	788
HOLLY	0.117	 177,617	186
HOWARD	0.23	 335,561	79
IAN	0.056	 81,702	263
ILA	0.014	 21,253	727
IMELDA	0.01	 15,181	888
INA	0.023	 34,916	556
INEZ	0.053	 80,459	328
IRENE	0.252	 382,559	76
IRMA	0.079	 119,929	255
ISABEL	0.057	 86,531	313
ISABELLE	0.019	 28,844	611
IVAN	0.053	 77,325	272
JACK	0.315	 459,573	53
JACKLYN	0.009	 13,663	934
JACOB	0.165	 240,729	122
JACQUELYN	0.041	 62,242	382
JAIME	0.055	 80,243	267
JAMES	3.318	 4,840,833	1
JAMIE	0.066	 96,291	233
JAN	0.051	 77,423	340
JANE	0.25	 379,523	77
JANELLE	0.024	 36,434	548
JAYNE	0.018	 27,326	636
JEANETTE	0.115	 174,580	191
JEANINE	0.017	 25,808	648
JEANNETTE	0.046	 69,832	364
JEANNINE	0.016	 24,289	683
JEFFERY	0.166	 242,188	118
JENIFER	0.023	 34,916	568
JENNIE	0.073	 110,821	265
JESSICA	0.49	 743,864	26
JESSIE	0.098	 148,773	215
JEWEL	0.025	 37,952	522
JILL	0.142	 215,569	159
JIM	0.118	 172,157	153
JIMMIE	0.058	 84,620	260
JO	0.083	 126,002	250
JOANN	0.136	 206,460	164
JOANNE	0.15	 227,714	147
JODI	0.051	 77,423	335
JODY	0.038	 57,687	402
JOEL	0.152	 221,762	133
JOHN	0.012	 18,217	819
JOHNNIE	0.039	 59,206	391
JOHNNY	0.195	 284,497	97
JON	0.115	 167,781	157
JONI	0.019	 28,844	615
JUANA	0.046	 69,832	363
JUDITH	0.297	 450,873	64
JULIA	0.223	 338,534	89
JULIANA	0.011	 16,699	844
JULIE	0.348	 528,296	52
JULIETTE	0.01	 15,181	896
JUNE	0.125	 189,761	176
JUSTINE	0.017	 25,808	668
KARA	0.041	 62,242	381
KARI	0.036	 54,651	416
KARINA	0.013	 19,735	780
KARLA	0.044	 66,796	370
KASEY	0.011	 16,699	847
KATELYN	0.01	 15,181	882
KATHERINE	0.313	 475,162	61
KATHIE	0.011	 16,699	856
KATHRINE	0.011	 16,699	828
KATHY	0.272	 412,921	71
KATINA	0.009	 13,663	947
KATY	0.012	 18,217	817
KAYE	0.011	 16,699	837
KEISHA	0.019	 28,844	625
KELLEY	0.031	 47,061	450
KELLIE	0.029	 44,025	467
KIMBERLY	0.504	 765,118	24
KIRSTEN	0.018	 27,326	632
KRIS	0.011	 16,699	833
KRISTEN	0.111	 168,508	194
KRISTIE	0.027	 40,988	500
KRISTINA	0.065	 98,676	290
KRISTY	0.048	 72,868	355
KURT	0.062	 90,456	249
LACEY	0.018	 27,326	626
LADONNA	0.016	 24,289	687
LAKISHA	0.011	 16,699	820
LANCE	0.063	 91,915	245
LARRY	0.598	 872,459	29
LATISHA	0.015	 22,771	715
LATOYA	0.043	 65,278	372
LAUREL	0.024	 36,434	550
LAURI	0.009	 13,663	956
LAVERNE	0.03	 45,543	455
LAWANDA	0.011	 16,699	852
LEA	0.017	 25,808	665
LEANN	0.015	 22,771	719
LEANNE	0.016	 24,289	682
LEE	0.162	 236,352	123
LEILA	0.015	 22,771	708
LELIA	0.009	 13,663	940
LENORA	0.024	 36,434	535
LEO	0.106	 154,650	168
LEON	0.112	 163,404	162
LEONARD	0.186	 271,367	107
LEROY	0.125	 182,370	144
LESLEY	0.019	 28,844	612
LEWIS	0.099	 144,437	180
LILA	0.029	 44,025	469
LILIAN	0.011	 16,699	843
LILLIAN	0.211	 320,317	98
LILLY	0.014	 21,253	732
LINA	0.011	 16,699	841
LINDSAY	0.06	 91,085	302
LISA	0.704	 1,068,736	11
LIZA	0.012	 18,217	808
LLOYD	0.112	 163,404	160
LOLA	0.048	 72,868	358
LONNIE	0.064	 93,374	244
LORAINE	0.013	 19,735	770
LORENE	0.028	 42,507	476
LORI	0.248	 376,486	78
LORNA	0.022	 33,398	572
LORRIE	0.012	 18,217	800
LOU	0.02	 30,362	604
LOUIS	0.243	 354,528	75
LOUISE	0.229	 347,643	83
LUPE	0.02	 30,362	602
LYDIA	0.086	 130,556	243
LYNETTE	0.033	 50,097	435
LYNNE	0.043	 65,278	378
MABEL	0.078	 118,411	256
MADELEINE	0.009	 13,663	936
MADELYN	0.01	 15,181	894
MAE	0.063	 95,640	293
MAGGIE	0.051	 77,423	337
MALINDA	0.013	 19,735	784
MAMIE	0.048	 72,868	356
MANUEL	0.181	 264,072	110
MARGRET	0.017	 25,808	671
MARI	0.011	 16,699	862
MARIAN	0.086	 130,556	246
MARIANNE	0.042	 63,760	380
MARICELA	0.011	 16,699	822
MARIETTA	0.01	 15,181	889
MARINA	0.027	 40,988	501
MARION	0.048	 70,030	290
MARISOL	0.018	 27,326	646
MARITZA	0.016	 24,289	680
MARK	0.938	 1,368,506	14
MARLENE	0.088	 133,592	240
MARSHA	0.078	 118,411	257
MARVA	0.01	 15,181	887
MARY	2.629	 3,991,060	1
MARYANNE	0.011	 16,699	848
MAYRA	0.018	 27,326	635
MEGAN	0.147	 223,159	151
MELANIE	0.116	 176,099	188
MELINDA	0.094	 142,701	223
MELISSA	0.462	 701,358	30
MELVA	0.011	 16,699	851
MERCEDES	0.033	 50,097	433
MERLE	0.011	 16,699	839
MICHEAL	0.123	 179,452	147
MICHELLE	0.519	 787,889	21
MIKE	0.189	 275,744	105
MILDRED	0.313	 475,162	60
MILLIE	0.017	 25,808	655
MINDY	0.029	 44,025	473
MINNIE	0.089	 135,110	239
MIRIAM	0.066	 100,194	285
MITCHELL	0.072	 105,045	222
MOLLIE	0.02	 30,362	601
MONA	0.035	 53,133	421
MONIQUE	0.051	 77,423	334
MORRIS	0.051	 74,407	278
MYRA	0.04	 60,724	385
MYRTLE	0.078	 118,411	258
NADINE	0.036	 54,651	415
NELL	0.021	 31,880	588
NELSON	0.061	 88,997	251
NEVA	0.013	 19,735	758
NICHOLE	0.038	 57,687	405
NIKKI	0.024	 36,434	540
NITA	0.012	 18,217	814
NOEMI	0.012	 18,217	806
NONA	0.011	 16,699	860
NOREEN	0.013	 19,735	785
NORMAN	0.177	 258,236	113
OFELIA	0.015	 22,771	704
OLGA	0.07	 106,266	277
OLIVIA	0.049	 74,386	352
OPAL	0.05	 75,905	346
ORA	0.027	 40,988	494
PAIGE	0.019	 28,844	614
PAMELA	0.416	 631,526	37
PAT	0.04	 60,724	387
PATRICE	0.026	 39,470	510
PATRICK	0.389	 567,536	42
PATTI	0.029	 44,025	465
PAUL	0.948	 1,383,095	13
PAULETTE	0.036	 54,651	419
PEARL	0.094	 142,701	224
PEDRO	0.103	 150,273	177
PENELOPE	0.013	 19,735	771
RACHAEL	0.038	 57,687	406
RACHELLE	0.019	 28,844	616
RAFAEL	0.081	 118,176	207
RAMON	0.09	 131,307	196
RANDALL	0.138	 201,337	139
RANDY	0.232	 338,479	78
RAUL	0.079	 115,258	211
RAYMOND	0.488	 711,973	36
REBECCA	0.43	 652,779	34
REGINA	0.133	 201,906	168
RENA	0.027	 40,988	504
RENE	0.048	 70,030	295
REVA	0.01	 15,181	870
RHEA	0.009	 13,663	960
RHONDA	0.162	 245,931	137
RICHARD	1.703	 2,484,611	7
RICKY	0.141	 205,714	137
ROBBIE	0.017	 25,808	653
ROBERTA	0.117	 177,617	185
ROBIN	0.208	 315,763	100
ROCHELLE	0.032	 48,579	443
ROGER	0.322	 469,786	50
RON	0.072	 105,045	221
ROSANNE	0.01	 15,181	883
ROSE	0.296	 449,355	65
ROSELLA	0.01	 15,181	910
ROSEMARY	0.107	 162,436	204
ROSIE	0.055	 83,495	323
ROSS	0.05	 72,948	282
ROXANNE	0.04	 60,724	389
SALLY	0.135	 204,942	167
SAM	0.092	 134,224	192
SAMUEL	0.306	 446,442	60
SANDY	0.055	 83,495	322
SARAH	0.508	 771,190	23
SAUNDRA	0.013	 19,735	787
SCOTT	0.546	 796,593	32
SELENA	0.012	 18,217	815
SERENA	0.013	 19,735	762
SETH	0.048	 70,030	292
SHANE	0.093	 135,683	190
SHANNON	0.175	 265,666	123
SHARLENE	0.008	 12,145	993
SHARRON	0.014	 21,253	750
SHAWN	0.2	 291,792	92
SHEENA	0.017	 25,808	649
SHELBY	0.025	 37,952	519
SHELLEY	0.049	 74,386	354
SOPHIA	0.032	 48,579	441
STACEY	0.101	 153,327	211
STACIE	0.025	 37,952	516
STANLEY	0.186	 271,367	106
STELLA	0.085	 129,038	247
STEPHEN	0.54	 787,839	34
STEVEN	0.78	 1,137,990	18
SUMMER	0.017	 25,808	662
SUSANA	0.019	 28,844	608
SUSANNE	0.02	 30,362	606
SUZANNE	0.145	 220,123	153
SYBIL	0.016	 24,289	693
TABATHA	0.013	 19,735	761
TAMARA	0.092	 139,664	229
TED	0.064	 93,374	240
TERI	0.033	 50,097	436
TERRANCE	0.048	 70,030	294
TERRI	0.105	 159,400	206
TERRY	0.08	 121,447	253
TESSA	0.01	 15,181	885
THEODORE	0.123	 179,452	148
THERESE	0.022	 33,398	569
TIA	0.014	 21,253	749
TIM	0.104	 151,732	170
TINA	0.22	 333,980	92
TODD	0.213	 310,759	88
TOMMIE	0.013	 19,735	778
TONI	0.064	 97,158	291
TONY	0.19	 277,203	103
TRACEY	0.069	 104,748	280
TRACIE	0.024	 36,434	544
VIOLET	0.065	 98,676	289
VIRGIL	0.049	 71,489	283
VIVIAN	0.118	 179,135	184
WADE	0.045	 65,653	300
WALTER	0.399	 582,126	41
WARREN	0.11	 160,486	164
WENDI	0.01	 15,181	884
WESLEY	0.104	 151,732	171
WILDA	0.009	 13,663	920
WILLARD	0.05	 72,948	280
WILLIE	0.097	 147,255	219
WILMA	0.099	 150,291	212
WINNIE	0.016	 24,289	699
XAVIER	0.016	 24,289	699
YOUNG	0.01	 15,181	902
YVONNE	0.126	 191,279	174
ZELDA	0.126	 191,279	174
